hotel_id,name,zone_id,comfort_level,star_category,quality_score,price_per_night,room_capacity,estimated_extra_guest_cost,solo_score,couple_score,family_score,friends_score,senior_score,child_score,accessibility_score,breakfast,pool,parking,beach_access,family_facilities,wellness,restaurant,wifi,latitude,longitude,distance_to_major_poi_clusters_km,average_access_travel_time_min
H0001,Calangute Budget Stay 01,Z01,budget,2,36.3,2049,3,299,56,73,100,73,49,97,13,0,0,1,0,1,0,0,1,15.54845,73.79084,4.3,16.8
H0002,Calangute Luxury Stay 02,Z01,luxury,5,93.1,27738,3,5211,83,78,38,60,62,52,65,1,0,1,1,0,0,1,1,15.546,73.76286,2.59,12.3
H0003,Calangute Premium Stay 03,Z01,premium,4,80.4,9176,3,1842,64,86,45,62,63,43,63,1,1,0,1,0,1,1,1,15.53505,73.75382,2.98,10.7
H0004,Calangute Standard Stay 04,Z01,standard,3,68.9,4879,3,631,54,95,88,85,64,83,60,1,1,1,1,0,0,1,1,15.5247,73.76546,3.44,14.5
H0005,Baga Standard Stay 05,Z02,standard,3,64.9,5001,2,1093,66,76,51,65,47,42,47,1,0,1,1,0,0,1,1,15.5547,73.75834,3.2,13.7
H0006,Baga Budget Stay 06,Z02,budget,2,53.9,2830,4,701,44,85,66,86,75,58,66,1,1,1,0,0,0,0,0,15.54211,73.76181,3.26,12.6
H0007,Baga Luxury Stay 07,Z02,luxury,5,89.5,27129,3,4225,54,57,75,72,80,55,54,1,1,1,1,1,1,1,1,15.54953,73.76162,3.09,10.4
H0008,Baga Budget Stay 08,Z02,budget,2,35.5,1314,2,208,65,80,76,82,67,77,44,1,0,1,0,1,0,0,1,15.54606,73.73378,4.46,21.9
H0009,Anjuna Standard Stay 09,Z03,standard,3,55.9,4070,3,978,56,56,61,68,82,48,44,1,1,1,1,0,0,1,1,15.55033,73.7473,3.23,10.8
H0010,Anjuna Budget Stay 10,Z03,budget,2,58.1,2651,2,493,62,88,39,68,84,3,28,0,0,0,0,1,0,0,1,15.55719,73.7559,3.57,16.8
H0011,Anjuna Standard Stay 11,Z03,standard,3,62.4,6631,2,857,54,78,61,57,61,47,15,1,0,1,1,1,0,1,1,15.5679,73.71346,3.3,14.3
H0012,Anjuna Standard Stay 12,Z03,standard,3,61.7,5444,2,675,61,82,47,74,66,39,53,0,0,1,0,0,0,1,1,15.56714,73.75245,3.25,13.1
H0013,Vagator Standard Stay 13,Z04,standard,3,57.2,4412,3,692,60,69,65,55,66,61,62,1,1,0,0,1,0,1,1,15.60488,73.73777,2.12,8.9
H0014,Vagator Premium Stay 14,Z04,premium,4,89.7,11338,2,1985,54,95,61,79,84,62,74,1,1,1,0,1,0,0,1,15.62055,73.73669,3.2,12.8
H0015,Vagator Luxury Stay 15,Z04,luxury,5,88.6,24244,2,4008,65,79,90,80,64,91,66,1,0,0,0,1,1,1,1,15.61165,73.71939,2.69,9.5
H0016,Vagator Premium Stay 16,Z04,premium,4,87.3,9320,2,1764,64,59,100,64,74,100,55,1,1,1,0,1,0,1,1,15.57499,73.76014,3.7,12.3
H0017,Candolim Budget Stay 17,Z05,budget,2,58.2,2123,2,401,59,82,74,76,70,47,34,1,1,1,1,1,0,1,1,15.52088,73.77744,2.06,10.0
H0018,Candolim Standard Stay 18,Z05,standard,3,71.9,5949,2,746,79,75,58,65,49,45,80,1,0,0,0,0,0,1,0,15.50279,73.75013,3.66,13.0
H0019,Candolim Standard Stay 19,Z05,standard,3,63.5,3860,3,534,63,82,74,84,72,91,56,1,0,1,0,1,0,1,1,15.55357,73.75643,3.07,15.2
H0020,Candolim Standard Stay 20,Z05,standard,3,66.7,3776,3,670,78,69,50,59,71,44,59,1,1,1,1,0,0,1,1,15.52751,73.76709,1.44,6.0
H0021,Panjim Budget Stay 21,Z06,budget,2,46.4,1497,3,245,66,65,47,76,59,31,55,1,0,1,0,0,0,0,1,15.49812,73.83542,2.81,8.6
H0022,Panjim Premium Stay 22,Z06,premium,4,85.5,7622,2,1496,47,76,43,72,70,39,71,1,1,1,0,0,1,1,1,15.4787,73.81971,2.61,11.9
H0023,Panjim Luxury Stay 23,Z06,luxury,5,96.1,24419,2,4695,62,63,75,73,70,69,61,0,1,1,0,1,1,1,1,15.49219,73.81589,2.25,10.7
H0024,Panjim Budget Stay 24,Z06,budget,2,45.5,2813,2,604,60,64,64,83,66,71,63,1,1,1,0,1,0,0,1,15.48159,73.80407,2.72,8.4
H0025,Old Goa Luxury Stay 25,Z07,luxury,5,91.8,27248,2,4698,75,85,65,79,71,58,71,1,1,1,0,1,1,1,0,15.473,73.90457,3.99,12.2
H0026,Old Goa Budget Stay 26,Z07,budget,2,40.2,1802,3,231,97,87,80,53,74,81,63,0,0,1,0,1,0,0,1,15.51782,73.92944,3.66,13.1
H0027,Old Goa Premium Stay 27,Z07,premium,4,72.4,11145,2,1868,79,80,75,88,85,72,76,1,0,1,0,1,1,1,1,15.50814,73.91689,2.65,9.3
H0028,Old Goa Standard Stay 28,Z07,standard,3,61.1,4489,3,979,69,73,64,73,51,61,100,1,1,1,0,1,0,1,1,15.51322,73.92714,3.33,10.5
H0029,Margao Standard Stay 29,Z08,standard,3,74.8,3084,2,565,71,81,77,86,55,50,83,1,1,1,0,1,0,1,1,15.30675,73.97123,3.93,15.1
H0030,Margao Budget Stay 30,Z08,budget,2,36.7,1633,3,336,68,75,61,81,61,56,27,0,1,1,0,0,0,0,1,15.27544,73.99646,3.67,18.0
H0031,Margao Standard Stay 31,Z08,standard,3,58.2,6095,3,803,73,71,82,61,64,86,25,1,0,1,0,1,0,1,1,15.28756,73.98088,3.16,15.0
H0032,Margao Standard Stay 32,Z08,standard,3,71.5,3917,3,665,83,99,73,65,64,69,54,1,0,0,0,0,0,1,1,15.31053,73.96337,4.63,17.0
H0033,Palolem Premium Stay 33,Z09,premium,4,83.0,10987,2,2235,64,85,84,81,100,75,65,1,1,1,0,1,0,1,1,15.00395,74.03142,2.69,13.1
H0034,Palolem Standard Stay 34,Z09,standard,3,56.9,4196,3,512,64,81,62,79,70,52,38,1,1,1,1,0,0,1,1,15.01055,73.99283,3.92,16.8
H0035,Palolem Luxury Stay 35,Z09,luxury,5,90.3,25212,2,3885,60,88,84,98,61,86,72,1,1,1,1,1,1,1,1,14.97711,74.01508,3.91,17.1
H0036,Palolem Standard Stay 36,Z09,standard,3,68.6,3166,2,460,87,83,56,51,62,51,51,1,0,1,0,0,0,1,0,15.03673,74.02009,4.34,20.3
H0037,Colva Budget Stay 37,Z10,budget,2,39.1,1947,3,292,75,82,35,68,77,36,69,0,0,1,1,0,0,1,1,15.27832,73.90969,3.35,11.0
H0038,Colva Premium Stay 38,Z10,premium,4,86.7,9325,2,1720,83,68,55,74,85,66,82,1,1,0,1,0,0,1,1,15.25186,73.92404,3.51,12.2
H0039,Colva Luxury Stay 39,Z10,luxury,5,91.0,25055,2,6025,73,84,86,62,70,95,100,1,1,1,1,1,1,1,1,15.28605,73.92769,3.97,17.8
H0040,Colva Standard Stay 40,Z10,standard,3,59.5,4665,3,766,62,74,39,49,49,42,42,1,1,0,0,0,0,1,1,15.27889,73.93096,3.76,17.4
