origin_zone,destination_zone,mode,distance_km,duration_minutes,estimated_cost,comfort,accessibility
Z01,Z01,walking,0.34,10.9,0.0,30,27
Z01,Z01,scooter,0.34,10.9,5.5,62,31
Z01,Z01,taxi,0.34,12.0,6.0,74,75
Z01,Z01,rental_car,0.34,7.1,3.5,74,82
Z01,Z01,public_transport,0.34,13.8,6.9,49,53
Z01,Z02,walking,2.02,26.4,0.0,46,47
Z01,Z02,scooter,2.02,3.6,6.6,51,40
Z01,Z02,taxi,2.02,3.8,34.0,70,79
Z01,Z02,rental_car,2.02,3.8,23.4,67,71
Z01,Z02,public_transport,2.02,6.3,3.3,54,53
Z01,Z03,walking,5.16,64.5,0.0,33,43
Z01,Z03,scooter,5.16,10.2,14.4,57,33
Z01,Z03,taxi,5.16,8.5,100.6,65,64
Z01,Z03,rental_car,5.16,11.1,57.0,79,77
Z01,Z03,public_transport,5.16,13.6,7.8,49,38
Z01,Z04,walking,7.84,109.1,0.0,38,27
Z01,Z04,scooter,7.84,16.7,21.8,56,26
Z01,Z04,taxi,7.84,13.8,150.1,88,65
Z01,Z04,rental_car,7.84,15.8,98.1,76,73
Z01,Z04,public_transport,7.84,22.5,11.2,56,48
Z01,Z05,walking,3.73,45.6,0.0,32,34
Z01,Z05,scooter,3.73,7.7,10.4,46,25
Z01,Z05,taxi,3.73,7.0,71.5,80,64
Z01,Z05,rental_car,3.73,7.3,45.3,67,56
Z01,Z05,public_transport,3.73,10.8,5.3,46,51
Z01,Z06,walking,10.8,159.5,0.0,54,34
Z01,Z06,scooter,10.8,23.5,29.7,51,29
Z01,Z06,taxi,10.8,19.4,179.3,84,69
Z01,Z06,rental_car,10.8,22.0,124.2,61,64
Z01,Z06,public_transport,10.8,32.1,16.8,57,43
Z01,Z07,walking,21.59,327.3,0.0,36,37
Z01,Z07,scooter,21.59,41.4,63.4,53,28
Z01,Z07,taxi,21.59,37.7,394.1,83,65
Z01,Z07,rental_car,21.59,37.9,247.0,67,80
Z01,Z07,public_transport,21.59,61.9,31.6,56,41
Z01,Z08,walking,43.86,563.4,0.0,49,24
Z01,Z08,scooter,43.86,94.4,134.7,69,42
