poi_id,name,zone_id,category,latitude,longitude,typical_duration_minutes,opening_time,closing_time,morning_score,afternoon_score,evening_score,base_cost,child_cost,senior_cost,solo_suitability,couple_suitability,family_suitability,friends_suitability,senior_suitability,child_suitability,accessibility_score,quality_score,food_affinity,culture_affinity,nature_affinity,beach_affinity,wellness_affinity,adventure_affinity,nightlife_affinity,shopping_affinity,history_affinity,photography_affinity,wildlife_affinity,spirituality_affinity
POI0001,Calangute Cultural Site Spot 01,Z01,cultural_site,15.58773,73.75417,89,10:00,21:00,70,57,64,86,50,62,77,79,67,70,59,56,77,60.4,21,82,19,9,30,29,20,33,88,9,24,77
POI0002,Calangute Religious Site Spot 02,Z01,religious_site,15.52758,73.78167,84,10:00,18:00,84,55,58,14,8,7,62,67,79,61,60,56,96,67.0,10,89,33,18,9,10,27,28,89,12,22,85
POI0003,Calangute Photography Spot 03,Z01,photography,15.55464,73.75291,78,07:00,18:00,83,55,93,86,41,60,60,70,79,59,71,70,48,70.0,15,21,89,28,29,15,14,30,83,74,6,8
POI0004,Calangute Food Spot 04,Z01,food,15.51598,73.76374,79,07:00,21:00,59,66,84,429,296,314,44,80,55,68,77,45,59,78.8,88,88,27,18,14,19,0,2,4,8,24,9
POI0005,Calangute Adventure Spot 05,Z01,adventure,15.55319,73.74251,109,07:00,20:00,70,73,52,2484,1682,1675,74,85,66,100,14,43,87,68.9,22,20,97,17,7,86,22,36,30,24,37,5
POI0006,Calangute Beach Spot 06,Z01,beach,15.5526,73.75917,148,10:00,21:00,92,69,80,0,0,0,57,85,55,52,96,41,86,64.0,23,10,15,80,18,32,21,18,7,71,14,19
POI0007,Baga Beach Spot 07,Z02,beach,15.56205,73.77985,167,06:00,22:00,92,44,92,0,0,0,79,70,91,64,51,72,67,59.6,38,21,18,87,35,22,15,33,25,97,22,5
POI0008,Baga Market Spot 08,Z02,market,15.59284,73.73464,76,07:00,22:00,53,62,90,0,0,0,53,76,66,68,67,63,100,71.5,90,68,19,9,5,9,15,92,4,20,14,16
POI0009,Baga Wellness Spot 09,Z02,wellness,15.55039,73.76725,171,11:00,19:00,67,84,57,3870,2074,2222,64,79,97,89,47,100,52,61.1,2,12,87,34,79,12,0,18,7,13,9,18
POI0010,Baga Food Spot 10,Z02,food,15.52041,73.77025,100,08:00,18:00,62,60,71,1069,700,548,53,89,93,68,53,92,78,86.1,81,83,3,17,16,22,13,25,32,21,24,20
POI0011,Baga Museum Spot 11,Z02,museum,15.56695,73.78635,63,07:00,18:00,72,73,41,175,77,112,69,62,46,60,60,51,93,59.9,6,81,23,20,16,18,16,21,96,0,17,22
POI0012,Baga Shopping Spot 12,Z02,shopping,15.53097,73.73828,136,06:00,20:00,63,73,68,0,0,0,79,66,52,60,87,40,70,66.6,88,40,25,29,16,20,11,92,5,29,17,34
POI0013,Anjuna Fort Spot 13,Z03,fort,15.55715,73.74455,103,11:00,21:00,70,70,44,74,46,43,54,73,67,85,79,66,56,69.4,24,97,0,12,27,1,37,24,91,80,29,32
POI0014,Anjuna Wellness Spot 14,Z03,wellness,15.57636,73.7557,147,07:00,20:00,60,64,50,3389,1655,2160,70,69,74,71,30,52,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
POI0015,Anjuna Museum Spot 15,Z03,museum,15.56171,73.71089,114,07:00,21:00,84,84,62,389,254,201,68,91,72,66,84,80,54,55.8,26,79,17,22,29,15,26,16,84,29,0,4
POI0016,Anjuna Beach Spot 16,Z03,beach,15.58127,73.73788,105,11:00,19:00,85,66,88,0,0,0,47,87,75,60,59,85,90,69.1,15,29,40,73,24,7,25,18,0,92,12,13
POI0017,Anjuna Religious Site Spot 17,Z03,religious_site,15.55076,73.74063,66,08:00,20:00,64,61,37,16,6,10,72,82,75,60,60,65,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
POI0018,Anjuna Nightlife Spot 18,Z03,nightlife,15.54355,73.68121,176,17:00,04:00,5,15,95,432,216,238,47,91,0,87,35,0,57,86.2,86,37,21,26,19,17,78,88,9,27,33,24
POI0019,Vagator Shopping Spot 19,Z04,shopping,15.60945,73.72352,138,06:00,19:00,42,75,85,0,0,0,55,69,73,81,59,86,41,65.5,82,21,18,29,24,28,11,92,39,8,9,36
POI0020,Vagator Viewpoint Spot 20,Z04,viewpoint,15.58139,73.7523,58,10:00,22:00,79,55,84,43,23,31,56,74,58,69,46,40,70,61.3,0,10,71,10,22,17,16,18,22,76,28,27
POI0021,Vagator Nature Spot 21,Z04,nature,15.57225,73.73928,170,10:00,19:00,88,73,58,296,198,211,52,64,53,68,94,56,99,79.2,18,12,89,22,2,19,23,9,22,73,36,34
POI0022,Vagator Nightlife Spot 22,Z04,nightlife,15.61098,73.73913,130,17:00,03:00,5,15,95,1872,1210,956,48,80,33,63,68,15,46,55.1,71,4,14,13,29,22,70,89,13,35,12,12
POI0023,Vagator Adventure Spot 23,Z04,adventure,15.58995,73.73146,201,08:00,19:00,63,63,51,2634,1289,1783,47,83,53,100,37,54,38,73.0,37,14,85,23,12,88,13,15,36,7,0,39
POI0024,Vagator Beach Spot 24,Z04,beach,15.60215,73.72002,167,11:00,21:00,82,56,97,0,0,0,77,68,68,29,40,42,84,63.4,0,21,15,99,17,40,6,27,23,78,22,34
POI0025,Candolim Waterfall Spot 25,Z05,waterfall,15.51736,73.78308,130,11:00,22:00,82,58,43,103,54,52,66,88,35,61,51,18,16,75.9,24,17,91,27,35,80,14,14,29,96,14,14
