interaction_id,traveller_id,hotel_id,month,nights,budget,hotel_price,comfort_match,party_match,accessibility_match,budget_fit,location_quality,amenity_match,route_efficiency,context_component,excessive_cost_penalty,synthetic_suitability_score,split
HI0000001,T000001,H0021,March,6,134658,1497.0,100.0,69.92,100.0,100.0,66.28,37.5,87.1,100.0,0.0,100.0,train
HI0000002,T000001,H0039,March,6,134658,25055.0,16.0,57.04,100.0,0.0,52.36,87.5,73.3,100.0,100.0,49.11,train
HI0000003,T000001,H0034,March,6,134658,4196.0,72.0,72.68,100.0,79.22,52.96,75.0,74.8,100.0,30.31,89.04,train
HI0000004,T000001,H0017,March,6,134658,2123.0,100.0,69.92,100.0,100.0,75.28,75.0,85.0,100.0,0.0,99.44,train
HI0000005,T000002,H0004,April,3,26955,4879.0,72.0,54.0,100.0,100.0,58.72,75.0,78.25,100.0,0.0,82.42,test
HI0000006,T000002,H0039,April,3,26955,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,100.0,100.0,48.6,test
HI0000007,T000002,H0028,April,3,26955,4489.0,72.0,69.0,100.0,100.0,60.04,62.5,84.25,100.0,0.0,84.66,test
HI0000008,T000002,H0003,April,3,26955,9176.0,100.0,64.0,100.0,93.64,64.24,75.0,83.95,100.0,5.57,100.0,test
HI0000009,T000003,H0030,February,3,25964,1633.0,72.0,68.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,94.79,train
HI0000010,T000003,H0028,February,3,25964,4489.0,100.0,69.0,100.0,96.7,60.04,62.5,84.25,100.0,4.82,100.0,train
HI0000011,T000003,H0016,February,3,25964,9320.0,72.0,64.0,100.0,41.49,55.6,62.5,81.55,100.0,85.33,71.25,train
HI0000012,T000003,H0038,February,3,25964,9325.0,72.0,83.0,100.0,41.43,57.88,62.5,81.7,100.0,85.42,66.93,train
HI0000013,T000004,H0026,November,1,5000,1802.0,100.0,97.0,100.0,100.0,56.08,25.0,80.35,100.0,0.0,100.0,train
HI0000014,T000004,H0014,November,1,5000,11338.0,44.0,54.0,100.0,0.0,61.6,50.0,80.8,100.0,100.0,54.98,train
HI0000015,T000004,H0011,November,1,5000,6631.0,72.0,54.0,100.0,0.0,60.4,62.5,78.55,100.0,100.0,50.01,train
HI0000016,T000004,H0016,November,1,5000,9320.0,44.0,64.0,100.0,0.0,55.6,62.5,81.55,100.0,100.0,56.83,train
HI0000017,T000005,H0030,November,2,26819,1633.0,44.0,61.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,85.51,test
HI0000018,T000005,H0026,November,2,26819,1802.0,44.0,74.0,100.0,100.0,56.08,25.0,80.35,100.0,0.0,86.05,test
HI0000019,T000005,H0035,November,2,26819,25212.0,72.0,56.12,100.0,0.0,53.08,87.5,74.35,100.0,100.0,51.29,test
HI0000020,T000005,H0022,November,2,26819,7622.0,100.0,64.4,100.0,94.18,68.68,75.0,82.15,100.0,5.09,100.0,test
HI0000021,T000006,H0039,June,3,89674,25055.0,44.0,75.22,100.0,0.0,52.36,100.0,73.3,79.21,100.0,43.67,train
HI0000022,T000006,H0029,June,3,89674,3084.0,100.0,56.78,100.0,100.0,52.84,75.0,77.35,100.0,0.0,100.0,train
HI0000023,T000006,H0009,June,3,89674,4070.0,100.0,60.98,100.0,100.0,61.24,75.0,83.8,71.63,0.0,97.29,train
HI0000024,T000006,H0017,June,3,89674,2123.0,72.0,60.65,100.0,100.0,75.28,87.5,85.0,70.33,0.0,94.27,train
HI0000025,T000007,H0010,February,2,7754,2651.0,72.0,62.0,100.0,100.0,57.16,12.5,74.8,100.0,0.0,96.71,test
HI0000026,T000007,H0029,February,2,7754,3084.0,100.0,71.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,99.08,test
HI0000027,T000007,H0014,February,2,7754,11338.0,72.0,54.0,100.0,0.0,61.6,50.0,80.8,100.0,100.0,44.69,test
HI0000028,T000007,H0024,February,2,7754,2813.0,72.0,60.0,100.0,100.0,67.36,50.0,87.4,100.0,0.0,99.77,test
HI0000029,T000008,H0028,December,7,44512,4489.0,72.0,73.0,100.0,0.44,60.04,62.5,84.25,100.0,87.11,67.16,train
HI0000030,T000008,H0023,December,7,44512,24419.0,16.0,63.0,100.0,0.0,73.0,62.5,83.95,100.0,100.0,49.28,train
HI0000031,T000008,H0009,December,7,44512,4070.0,72.0,56.0,100.0,17.2,61.24,75.0,83.8,100.0,72.45,71.85,train
HI0000032,T000008,H0017,December,7,44512,2123.0,100.0,82.0,100.0,95.08,75.28,75.0,85.0,100.0,4.31,100.0,train
HI0000033,T000009,H0023,November,6,132862,24419.0,100.0,64.4,100.0,100.0,73.0,62.5,83.95,100.0,0.0,100.0,train
HI0000034,T000009,H0035,November,6,132862,25212.0,100.0,56.12,100.0,100.0,53.08,87.5,74.35,100.0,0.0,100.0,train
HI0000035,T000009,H0012,November,6,132862,5444.0,44.0,60.72,100.0,100.0,61.0,37.5,80.35,100.0,0.0,77.91,train
