interaction_id,traveller_id,hotel_id,month,nights,budget,hotel_price,comfort_match,party_match,accessibility_match,budget_fit,location_quality,amenity_match,route_efficiency,context_component,excessive_cost_penalty,synthetic_suitability_score,split,traveller_type,adults,children,seniors,total_party_size,pace,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,comfort_level,star_category,quality_score,price_per_night,room_capacity,accessibility_score
HI0000001,T000001,H0021,March,6,134658,1497.0,100.0,69.92,100.0,100.0,66.28,37.5,87.1,100.0,0.0,100.0,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,budget,2,46.4,1497,3,55
HI0000002,T000001,H0039,March,6,134658,25055.0,16.0,57.04,100.0,0.0,52.36,87.5,73.3,100.0,100.0,49.11,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,luxury,5,91.0,25055,2,100
HI0000003,T000001,H0034,March,6,134658,4196.0,72.0,72.68,100.0,79.22,52.96,75.0,74.8,100.0,30.31,89.04,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,standard,3,56.9,4196,3,38
HI0000004,T000001,H0017,March,6,134658,2123.0,100.0,69.92,100.0,100.0,75.28,75.0,85.0,100.0,0.0,99.44,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,budget,2,58.2,2123,2,34
HI0000005,T000002,H0004,April,3,26955,4879.0,72.0,54.0,100.0,100.0,58.72,75.0,78.25,100.0,0.0,82.42,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,standard,3,68.9,4879,3,60
HI0000006,T000002,H0039,April,3,26955,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,100.0,100.0,48.6,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,luxury,5,91.0,25055,2,100
HI0000007,T000002,H0028,April,3,26955,4489.0,72.0,69.0,100.0,100.0,60.04,62.5,84.25,100.0,0.0,84.66,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,standard,3,61.1,4489,3,100
HI0000008,T000002,H0003,April,3,26955,9176.0,100.0,64.0,100.0,93.64,64.24,75.0,83.95,100.0,5.57,100.0,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,premium,4,80.4,9176,3,63
HI0000009,T000003,H0030,February,3,25964,1633.0,72.0,68.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,94.79,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,budget,2,36.7,1633,3,27
HI0000010,T000003,H0028,February,3,25964,4489.0,100.0,69.0,100.0,96.7,60.04,62.5,84.25,100.0,4.82,100.0,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,standard,3,61.1,4489,3,100
HI0000011,T000003,H0016,February,3,25964,9320.0,72.0,64.0,100.0,41.49,55.6,62.5,81.55,100.0,85.33,71.25,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,premium,4,87.3,9320,2,55
HI0000012,T000003,H0038,February,3,25964,9325.0,72.0,83.0,100.0,41.43,57.88,62.5,81.7,100.0,85.42,66.93,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,premium,4,86.7,9325,2,82
HI0000013,T000004,H0026,November,1,5000,1802.0,100.0,97.0,100.0,100.0,56.08,25.0,80.35,100.0,0.0,100.0,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,budget,2,40.2,1802,3,63
HI0000014,T000004,H0014,November,1,5000,11338.0,44.0,54.0,100.0,0.0,61.6,50.0,80.8,100.0,100.0,54.98,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,premium,4,89.7,11338,2,74
HI0000015,T000004,H0011,November,1,5000,6631.0,72.0,54.0,100.0,0.0,60.4,62.5,78.55,100.0,100.0,50.01,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,standard,3,62.4,6631,2,15
HI0000016,T000004,H0016,November,1,5000,9320.0,44.0,64.0,100.0,0.0,55.6,62.5,81.55,100.0,100.0,56.83,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,premium,4,87.3,9320,2,55
HI0000017,T000005,H0030,November,2,26819,1633.0,44.0,61.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,85.51,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,budget,2,36.7,1633,3,27
HI0000018,T000005,H0026,November,2,26819,1802.0,44.0,74.0,100.0,100.0,56.08,25.0,80.35,100.0,0.0,86.05,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,budget,2,40.2,1802,3,63
