interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split
PI0000001,T000001,POI0042,March,afternoon,Z01,37.7,21.59,691.1,70.22,63.0,71.0,88.5,100.0,66.8,1.36,15.08,82.94,train
PI0000002,T000001,POI0035,March,afternoon,Z01,19.4,10.8,179.3,77.61,45.0,70.0,87.3,100.0,50.8,0.0,7.76,72.47,train
PI0000003,T000001,POI0011,March,morning,Z01,3.8,2.02,209.0,69.91,60.0,72.0,85.95,100.0,59.9,0.8,1.52,74.98,train
PI0000004,T000001,POI0035,March,morning,Z01,19.4,10.8,179.3,77.61,45.0,59.0,87.3,100.0,50.8,0.0,7.76,64.01,train
PI0000005,T000001,POI0042,March,evening,Z01,37.7,21.59,691.1,70.22,63.0,46.0,88.5,100.0,66.8,1.36,15.08,77.15,train
PI0000006,T000001,POI0004,March,evening,Z01,12.0,0.34,435.0,69.68,68.0,84.0,88.35,100.0,78.8,1.97,4.8,78.35,train
PI0000007,T000001,POI0052,March,evening,Z01,151.8,84.05,1511.5,73.07,66.0,93.0,82.65,100.0,88.6,0.0,60.72,73.6,train
PI0000008,T000001,POI0013,March,evening,Z01,8.5,5.16,174.6,78.34,85.0,44.0,88.05,100.0,69.4,0.34,3.4,70.92,train
PI0000009,T000002,POI0050,April,morning,Z09,10.9,0.35,22.5,70.72,87.0,89.0,84.9,100.0,82.4,0.32,4.36,84.92,test
PI0000010,T000002,POI0017,April,evening,Z09,147.6,81.7,1559.0,67.37,72.0,37.0,86.4,100.0,60.8,0.31,59.04,70.58,test
PI0000011,T000002,POI0050,April,evening,Z09,10.9,0.35,22.5,70.72,87.0,41.0,84.9,100.0,82.4,0.32,4.36,69.2,test
PI0000012,T000002,POI0020,April,evening,Z09,164.4,89.55,1552.3,72.88,56.0,84.0,85.2,100.0,61.3,0.82,65.76,62.87,test
PI0000013,T000002,POI0056,April,morning,Z09,69.0,39.06,1993.0,67.55,70.0,68.0,70.95,100.0,50.2,23.81,27.6,56.09,test
PI0000014,T000002,POI0049,April,afternoon,Z09,10.9,0.35,14.5,75.28,45.0,81.0,88.2,100.0,79.2,0.17,4.36,75.63,test
PI0000015,T000002,POI0026,April,afternoon,Z09,128.7,79.6,1664.6,64.31,74.0,72.0,83.7,100.0,51.4,5.06,51.48,66.17,test
PI0000016,T000002,POI0057,April,morning,Z09,69.0,39.06,827.0,69.99,93.0,82.0,86.85,100.0,60.6,1.56,27.6,76.79,test
PI0000017,T000003,POI0060,February,morning,Z08,14.2,9.2,179.1,83.69,47.0,75.0,80.25,100.0,85.3,0.0,5.68,71.68,train
PI0000018,T000003,POI0043,February,morning,Z08,10.2,0.86,48.1,75.92,68.0,60.0,90.0,100.0,62.9,0.51,4.08,71.66,train
PI0000019,T000003,POI0010,February,morning,Z08,95.8,52.69,2026.2,57.88,53.0,62.0,88.5,100.0,86.1,12.7,38.32,75.97,train
PI0000020,T000003,POI0039,February,evening,Z08,55.8,29.79,1837.3,73.1,65.0,95.0,76.8,100.0,88.0,15.46,22.32,64.47,train
PI0000021,T000003,POI0052,February,evening,Z08,71.3,37.85,666.4,75.35,68.0,93.0,82.65,100.0,88.6,0.0,28.52,100.0,train
PI0000022,T000003,POI0006,February,afternoon,Z08,79.2,48.0,855.8,83.94,57.0,69.0,81.3,100.0,64.0,0.0,31.68,69.96,train
PI0000023,T000003,POI0028,February,evening,Z08,71.6,42.09,723.4,76.04,68.0,66.0,90.0,100.0,63.8,0.0,28.64,76.29,train
PI0000024,T000003,POI0054,February,morning,Z08,71.3,37.85,690.4,45.52,71.0,70.0,83.4,100.0,79.8,0.29,28.52,67.0,train
PI0000025,T000004,POI0017,November,afternoon,Z03,10.9,0.43,21.5,60.62,72.0,61.0,86.4,100.0,60.8,0.77,4.36,69.6,train
PI0000026,T000004,POI0042,November,evening,Z03,41.1,26.42,748.1,66.53,52.0,46.0,88.5,100.0,66.8,14.26,16.44,64.5,train
PI0000027,T000004,POI0029,November,evening,Z03,15.9,8.18,327.9,75.82,65.0,56.0,88.5,100.0,58.1,8.93,6.36,65.14,train
PI0000028,T000004,POI0060,November,morning,Z03,74.5,44.74,864.3,81.28,47.0,75.0,80.25,100.0,85.3,0.0,29.8,86.6,train
PI0000029,T000004,POI0019,November,evening,Z03,5.4,3.33,61.6,62.88,55.0,85.0,82.8,100.0,65.5,0.0,2.16,69.43,train
PI0000030,T000004,POI0043,November,evening,Z03,102.7,54.77,1007.7,81.38,68.0,61.0,90.0,100.0,62.9,2.06,41.08,80.21,train
PI0000031,T000004,POI0056,November,evening,Z03,74.5,44.74,2112.3,75.92,70.0,63.0,70.95,100.0,50.2,59.9,29.8,60.14,train
PI0000032,T000004,POI0013,November,morning,Z03,10.9,0.43,79.5,65.28,54.0,70.0,88.05,100.0,69.4,3.55,4.36,75.53,train
PI0000033,T000005,POI0045,November,morning,Z04,103.8,57.03,1536.3,82.72,64.0,68.0,72.15,100.0,72.7,5.94,41.52,81.14,test
PI0000034,T000005,POI0040,November,afternoon,Z04,50.2,26.96,457.0,84.46,66.0,73.0,74.0,100.0,45.0,0.0,20.08,65.44,test
PI0000035,T000005,POI0021,November,morning,Z04,5.4,0.53,720.7,66.19,94.0,88.0,75.5,100.0,79.2,9.18,2.16,74.36,test
PI0000036,T000005,POI0007,November,evening,Z04,11.5,6.52,106.9,76.86,51.0,92.0,75.35,100.0,59.6,0.0,4.6,77.76,test
PI0000037,T000005,POI0004,November,evening,Z04,12.3,7.82,1186.8,72.71,77.0,84.0,70.95,100.0,78.8,13.51,4.92,75.14,test
PI0000038,T000005,POI0053,November,morning,Z04,182.1,97.33,2104.2,70.5,73.0,88.0,72.35,100.0,54.4,4.41,72.84,61.71,test
PI0000039,T000005,POI0028,November,evening,Z04,21.0,11.17,218.7,84.7,64.0,66.0,71.5,100.0,63.8,0.0,8.4,86.08,test
PI0000040,T000005,POI0018,November,afternoon,Z04,6.3,3.23,969.9,86.95,35.0,15.0,75.8,100.0,86.2,11.61,2.52,73.66,test
PI0000041,T000006,POI0056,June,afternoon,Z08,14.2,9.2,3747.1,69.51,46.32,49.69,77.85,100.0,50.2,12.28,5.68,65.15,train
PI0000042,T000006,POI0026,June,evening,Z08,71.6,42.09,1485.4,69.49,58.52,42.0,69.4,100.0,51.4,2.62,28.64,70.85,train
PI0000043,T000006,POI0049,June,afternoon,Z08,71.3,37.85,690.4,78.18,57.56,81.0,70.9,100.0,79.2,0.08,28.52,82.41,train
PI0000044,T000006,POI0054,June,afternoon,Z08,71.3,37.85,727.4,78.78,72.12,66.0,69.3,100.0,79.8,0.21,28.52,94.65,train
PI0000045,T000006,POI0047,June,evening,Z08,10.2,0.86,90.1,75.48,53.76,38.0,69.2,100.0,70.7,0.29,4.08,77.22,train
PI0000046,T000006,POI0029,June,afternoon,Z08,71.6,42.09,1234.4,77.04,68.32,70.0,71.0,100.0,58.1,1.76,28.64,74.74,train
PI0000047,T000006,POI0017,June,afternoon,Z08,92.1,54.2,1056.0,78.25,66.6,61.0,70.3,100.0,60.8,0.13,36.84,66.65,train
PI0000048,T000006,POI0037,June,evening,Z08,55.8,29.79,536.3,69.29,60.0,75.0,73.35,100.0,63.0,0.0,22.32,71.87,train
PI0000049,T000007,POI0032,February,morning,Z08,61.1,33.99,668.7,58.95,59.0,76.0,69.1,100.0,74.7,2.6,24.44,65.31,test
PI0000050,T000007,POI0014,February,morning,Z08,92.1,54.2,4407.0,75.11,70.0,60.0,74.35,100.0,88.2,100.0,36.84,40.46,test
PI0000051,T000007,POI0051,February,morning,Z08,71.3,37.85,2490.4,83.46,79.0,78.0,75.1,100.0,74.2,100.0,28.52,58.64,test
PI0000052,T000007,POI0005,February,evening,Z08,79.2,48.0,3339.8,56.01,74.0,52.0,72.45,100.0,68.9,100.0,31.68,42.94,test
PI0000053,T000007,POI0018,February,evening,Z08,92.1,54.2,1450.0,77.27,47.0,95.0,75.8,100.0,86.2,26.74,36.84,77.27,test
PI0000054,T000007,POI0032,February,afternoon,Z08,61.1,33.99,668.7,58.95,59.0,70.0,69.1,100.0,74.7,2.6,24.44,67.1,test
PI0000055,T000007,POI0002,February,evening,Z08,79.2,48.0,869.8,58.17,62.0,58.0,71.2,100.0,67.0,0.87,31.68,63.84,test
PI0000056,T000007,POI0059,February,morning,Z08,14.2,9.2,203.1,60.44,64.0,85.0,71.5,100.0,79.4,1.49,5.68,72.77,test
PI0000057,T000008,POI0016,December,afternoon,Z06,32.9,17.46,310.6,76.07,87.0,66.0,88.75,100.0,69.1,0.0,13.16,64.98,train
