interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split,traveller_type,adults,children,seniors,total_party_size,pace,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,category,typical_duration_minutes,accessibility_score,quality_score,food_affinity,culture_affinity,nature_affinity,beach_affinity,wellness_affinity,adventure_affinity,nightlife_affinity,shopping_affinity,history_affinity,photography_affinity,wildlife_affinity,spirituality_affinity
PI0000001,T000001,POI0042,March,afternoon,Z01,37.7,21.59,691.1,70.22,63.0,71.0,88.5,100.0,66.8,1.36,15.08,82.94,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,museum,80,52,66.8,32,86,31,23,13,28,21,20,96,0,2,5
PI0000002,T000001,POI0035,March,afternoon,Z01,19.4,10.8,179.3,77.61,45.0,70.0,87.3,100.0,50.8,0.0,7.76,72.47,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,market,108,77,50.8,81,100,19,24,39,21,7,84,19,3,16,11
PI0000003,T000001,POI0011,March,morning,Z01,3.8,2.02,209.0,69.91,60.0,72.0,85.95,100.0,59.9,0.8,1.52,74.98,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,museum,63,93,59.9,6,81,23,20,16,18,16,21,96,0,17,22
PI0000004,T000001,POI0035,March,morning,Z01,19.4,10.8,179.3,77.61,45.0,59.0,87.3,100.0,50.8,0.0,7.76,64.01,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,market,108,77,50.8,81,100,19,24,39,21,7,84,19,3,16,11
PI0000005,T000001,POI0042,March,evening,Z01,37.7,21.59,691.1,70.22,63.0,46.0,88.5,100.0,66.8,1.36,15.08,77.15,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,museum,80,52,66.8,32,86,31,23,13,28,21,20,96,0,2,5
PI0000006,T000001,POI0004,March,evening,Z01,12.0,0.34,435.0,69.68,68.0,84.0,88.35,100.0,78.8,1.97,4.8,78.35,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,food,79,59,78.8,88,88,27,18,14,19,0,2,4,8,24,9
PI0000007,T000001,POI0052,March,evening,Z01,151.8,84.05,1511.5,73.07,66.0,93.0,82.65,100.0,88.6,0.0,60.72,73.6,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,beach,139,100,88.6,18,14,0,75,33,12,24,3,37,83,23,47
PI0000008,T000001,POI0013,March,evening,Z01,8.5,5.16,174.6,78.34,85.0,44.0,88.05,100.0,69.4,0.34,3.4,70.92,train,friends,6,0,0,6,balanced,high,budget,no_restriction,vegetarian,public_transport,66,71,83,53,56,8,31,66,57,70,62,46,fort,103,56,69.4,24,97,0,12,27,1,37,24,91,80,29,32
PI0000009,T000002,POI0050,April,morning,Z09,10.9,0.35,22.5,70.72,87.0,89.0,84.9,100.0,82.4,0.32,4.36,84.92,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,waterfall,124,26,82.4,34,0,82,18,0,85,34,6,24,77,11,37
PI0000010,T000002,POI0017,April,evening,Z09,147.6,81.7,1559.0,67.37,72.0,37.0,86.4,100.0,60.8,0.31,59.04,70.58,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,religious_site,66,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
PI0000011,T000002,POI0050,April,evening,Z09,10.9,0.35,22.5,70.72,87.0,41.0,84.9,100.0,82.4,0.32,4.36,69.2,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,waterfall,124,26,82.4,34,0,82,18,0,85,34,6,24,77,11,37
PI0000012,T000002,POI0020,April,evening,Z09,164.4,89.55,1552.3,72.88,56.0,84.0,85.2,100.0,61.3,0.82,65.76,62.87,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,viewpoint,58,70,61.3,0,10,71,10,22,17,16,18,22,76,28,27
PI0000013,T000002,POI0056,April,morning,Z09,69.0,39.06,1993.0,67.55,70.0,68.0,70.95,100.0,50.2,23.81,27.6,56.09,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,adventure,217,34,50.2,1,11,80,15,3,79,11,29,29,18,15,21
PI0000014,T000002,POI0049,April,afternoon,Z09,10.9,0.35,14.5,75.28,45.0,81.0,88.2,100.0,79.2,0.17,4.36,75.63,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,religious_site,78,80,79.2,4,87,42,25,15,13,15,16,81,30,0,91
